,rid,uname,cid,review
401,401,User401,35,Very informative and interactive. I like the style of Professor Bushee's classroom teaching
402,402,User402,38,"Rather robust material with strong focus on ""deceptive"" practice detection. A lot of ratio analyses, each with its own moniker which I found tedious. Informative and confirmed that I don't have the ""accountant gene""."
403,403,User403,9,An excellent course. I only wish the portion on non-financial metrics included some examples or insight in how best to quantify non-financial metrics in do
404,404,User404,32,"It's mostly very basic stuff, but even then it introduced me to concepts I wasn't aware of."
405,405,User405,92,i love this course very much!very practical and systematical content.and very useful for accounting professionbut its a little bit challenging to follow. I have watched whole the videos for more than 2 times in order to pass the assignment.
406,406,User406,63,Lot of considerably complex and dry (accounting and statistics!) subject matter covered at a high level without much discussion! Quiz questions are unnecessarily complex - which (IMHO) will discourage / turn off those who are new to this subject matter in completing this course. The last week is pretty interesting though!I am taking the full business analytic course - and find that the quality and complexity of content is all over the place!! Some are way too simple and some are highly complex.
407,407,User407,78,This course change me the views on 3D printing and their revolution.
408,408,User408,58,very interesting
409,409,User409,17,Simply very interesting.
410,410,User410,0,It's a very good course.
411,411,User411,42,GREAT!! thanks a lot :) :)
412,412,User412,79,Very good course but videos sometimes too long
413,413,User413,42,Excellent overview of identification of problems in financial statements
414,414,User414,42,Focus of first 3 week is more of an audit analytics material. Quiz material could have been more interactive. Overall OK course.
415,415,User415,83,Lot of considerably complex and dry (accounting and statistics!) subject matter covered at a high level without much discussion! Quiz questions are unnecessarily complex - which (IMHO) will discourage / turn off those who are new to this subject matter in completing this course. The last week is pretty interesting though!I am taking the full business analytic course - and find that the quality and complexity of content is all over the place!! Some are way too simple and some are highly complex.
416,416,User416,17,"An excellent course to start with, if you are completely new to 3D printing. Easy-to-understand language, very little special tech-talk, so the course is suitable for virtually anybody. t is true that you do not need to be a tech genius to get acquanted with the world of 3D printing!"
417,417,User417,41,Definitely good course for those working in either accounting or analytics. It gave me new ideas on how to apply analytical methods. Interesting examples on how to identify number management and how analytics can help to set up non-financial metrics that drive financial outcomes.
418,418,User418,88,Excelent! Lots of information and really interesting interviews. Plus Aric Rindfleisch is extremely clear in the lectures. Congratulations.
419,419,User419,61,"It was exactly like the lecturer said it would be like.The only hard part is the last part, where we had to actually remix an existing 3D model .I think this part of the lecturer video should have had an in depth look at how to use the 3D app.Nevertheless the course was good I learnt a lot of new stuff and not to give out any spoilers.....Its worth it."
420,420,User420,22,The three first weeks were almost completely dedicated to traditional finance accounting ratio analysis.
421,421,User421,40,Great class!
422,422,User422,94,Awesome course for an intro or to just refresh your skills.
423,423,User423,81,The best auditing course out there!
424,424,User424,73,"It's a great course. The teacher is the best, very direct and understandable."
425,425,User425,31,"This first course has been an excellent overview of the field. Easy to follow and brought everything into ""perspective"" . Eagerly looking forward to the next course."
426,426,User426,48,"Very good introduction to the subject, instructor never looses the attention with new topics and examples."
427,427,User427,50,"Excellent course, first 3 weeks were very technical but highly informative. Quite a bit of accounting knowledge is required to understand the work. Last week of lessons were more simple and intuitive to understand, but overall, a very insightful module"
428,428,User428,14,"I recommend this course to all my colleagues. Its enriched content certainly helped me to understand things in better way and provided content in structured way, which is I liked most."
429,429,User429,25,"First of all, I would like to express my gratefulness to Coursera who presenting this excellent platform for those who is interested in ongoing lifetime education and hardworking and contributions to bring all the greatest courses from top universities around the world.Second, I thank you Prof Brian and Christopher for all your time, work especially your knowledge that you brought and shared within these videos. I truly appreciate and like the way you teaching and delivering the professional knowledge.To me, as a student who's just started stepping in accounting field, I found that accounting classes is so much interesting done by you, and it is a pure enjoyment as I learnt all the key knowledge. On there other hand, the courses gave me a general clear picture of how important and critical the accounting is in daily business management.I will continue study accounting as I pursue my professional goals and career path."
430,430,,,
431,431,,,
432,432,,,
